GEO_ID,NAME,S2201_C01_001E,S2201_C01_002E,S2201_C01_003E,S2201_C01_004E,S2201_C01_005E,S2201_C01_006E,S2201_C01_007E,S2201_C01_008E,S2201_C01_009E,S2201_C01_010E,S2201_C01_011E,S2201_C01_012E,S2201_C01_013E,S2201_C01_014E,S2201_C01_015E,S2201_C01_016E,S2201_C01_017E,S2201_C01_018E,S2201_C01_019E,S2201_C01_020E,S2201_C01_021E,S2201_C01_022E,S2201_C01_023E,S2201_C01_024E,S2201_C01_025E,S2201_C01_026E,S2201_C01_027E,S2201_C01_028E,S2201_C01_029E,S2201_C01_030E,S2201_C01_031E,S2201_C01_032E,S2201_C01_033E,S2201_C01_034E,S2201_C01_035E,S2201_C01_036E,S2201_C01_037E,S2201_C01_038E,S2201_C02_001E,S2201_C02_002E,S2201_C02_003E,S2201_C02_004E,S2201_C02_005E,S2201_C02_006E,S2201_C02_007E,S2201_C02_008E,S2201_C02_009E,S2201_C02_010E,S2201_C02_011E,S2201_C02_012E,S2201_C02_013E,S2201_C02_014E,S2201_C02_015E,S2201_C02_016E,S2201_C02_017E,S2201_C02_018E,S2201_C02_019E,S2201_C02_020E,S2201_C02_021E,S2201_C02_022E,S2201_C02_023E,S2201_C02_024E,S2201_C02_025E,S2201_C02_026E,S2201_C02_027E,S2201_C02_028E,S2201_C02_029E,S2201_C02_030E,S2201_C02_031E,S2201_C02_032E,S2201_C02_033E,S2201_C02_034E,S2201_C02_035E,S2201_C02_036E,S2201_C02_037E,S2201_C02_038E,S2201_C03_001E,S2201_C03_002E,S2201_C03_003E,S2201_C03_004E,S2201_C03_005E,S2201_C03_006E,S2201_C03_007E,S2201_C03_008E,S2201_C03_009E,S2201_C03_010E,S2201_C03_011E,S2201_C03_012E,S2201_C03_013E,S2201_C03_014E,S2201_C03_015E,S2201_C03_016E,S2201_C03_017E,S2201_C03_018E,S2201_C03_019E,S2201_C03_020E,S2201_C03_021E,S2201_C03_022E,S2201_C03_023E,S2201_C03_024E,S2201_C03_025E,S2201_C03_026E,S2201_C03_027E,S2201_C03_028E,S2201_C03_029E,S2201_C03_030E,S2201_C03_031E,S2201_C03_032E,S2201_C03_033E,S2201_C03_034E,S2201_C03_035E,S2201_C03_036E,S2201_C03_037E,S2201_C03_038E,S2201_C04_001E,S2201_C04_002E,S2201_C04_003E,S2201_C04_004E,S2201_C04_005E,S2201_C04_006E,S2201_C04_007E,S2201_C04_008E,S2201_C04_009E,S2201_C04_010E,S2201_C04_011E,S2201_C04_012E,S2201_C04_013E,S2201_C04_014E,S2201_C04_015E,S2201_C04_016E,S2201_C04_017E,S2201_C04_018E,S2201_C04_019E,S2201_C04_020E,S2201_C04_021E,S2201_C04_022E,S2201_C04_023E,S2201_C04_024E,S2201_C04_025E,S2201_C04_026E,S2201_C04_027E,S2201_C04_028E,S2201_C04_029E,S2201_C04_030E,S2201_C04_031E,S2201_C04_032E,S2201_C04_033E,S2201_C04_034E,S2201_C04_035E,S2201_C04_036E,S2201_C04_037E,S2201_C04_038E,S2201_C05_001E,S2201_C05_002E,S2201_C05_003E,S2201_C05_004E,S2201_C05_005E,S2201_C05_006E,S2201_C05_007E,S2201_C05_008E,S2201_C05_009E,S2201_C05_010E,S2201_C05_011E,S2201_C05_012E,S2201_C05_013E,S2201_C05_014E,S2201_C05_015E,S2201_C05_016E,S2201_C05_017E,S2201_C05_018E,S2201_C05_019E,S2201_C05_020E,S2201_C05_021E,S2201_C05_022E,S2201_C05_023E,S2201_C05_024E,S2201_C05_025E,S2201_C05_026E,S2201_C05_027E,S2201_C05_028E,S2201_C05_029E,S2201_C05_030E,S2201_C05_031E,S2201_C05_032E,S2201_C05_033E,S2201_C05_034E,S2201_C05_035E,S2201_C05_036E,S2201_C05_037E,S2201_C05_038E,S2201_C06_001E,S2201_C06_002E,S2201_C06_003E,S2201_C06_004E,S2201_C06_005E,S2201_C06_006E,S2201_C06_007E,S2201_C06_008E,S2201_C06_009E,S2201_C06_010E,S2201_C06_011E,S2201_C06_012E,S2201_C06_013E,S2201_C06_014E,S2201_C06_015E,S2201_C06_016E,S2201_C06_017E,S2201_C06_018E,S2201_C06_019E,S2201_C06_020E,S2201_C06_021E,S2201_C06_022E,S2201_C06_023E,S2201_C06_024E,S2201_C06_025E,S2201_C06_026E,S2201_C06_027E,S2201_C06_028E,S2201_C06_029E,S2201_C06_030E,S2201_C06_031E,S2201_C06_032E,S2201_C06_033E,S2201_C06_034E,S2201_C06_035E,S2201_C06_036E,S2201_C06_037E,S2201_C06_038E
1400000US42101000101,Census Tract 1.01; Philadelphia County; Pennsylvania,1413,201,1212,268,56,15,41,1089,34,34,0,0,0,0,1379,234,56,15,41,1089,14,1399,182,1231,1164,15,0,84,0,99,51,180,1083,117250,324,16,39,269,(X),14.2,85.8,19,4,1.1,2.9,77.1,2.4,2.4,0,0,0,0,97.6,16.6,4,1.1,2.9,77.1,1,99,12.9,87.1,82.4,1.1,0,5.9,0,7,3.6,12.7,76.6,(X),(X),4.9,12,83,10,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,10,10,0,0,0,0,0,0,0,10,-,0,0,0,0,0.7,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,100,100,0,0,0,0,0,0,0,100,(X),(X),-,-,-,1403,201,1202,268,56,15,41,1079,34,34,0,0,0,0,1369,234,56,15,41,1079,14,1389,182,1221,1154,15,0,84,0,99,51,180,1073,116417,324,16,39,269,99.3,14.3,85.7,19.1,4,1.1,2.9,76.9,2.4,2.4,0,0,0,0,97.6,16.7,4,1.1,2.9,76.9,1,99,13,87,82.3,1.1,0,6,0,7.1,3.6,12.8,76.5,(X),(X),4.9,12,83
1400000US42101000102,Census Tract 1.02; Philadelphia County; Pennsylvania,1960,265,1695,359,29,0,29,1572,91,91,0,0,0,0,1869,268,29,0,29,1572,143,1817,152,1808,1702,66,0,116,0,49,27,104,1647,94974,388,26,44,318,(X),13.5,86.5,18.3,1.5,0,1.5,80.2,4.6,4.6,0,0,0,0,95.4,13.7,1.5,0,1.5,80.2,7.3,92.7,7.8,92.2,86.8,3.4,0,5.9,0,2.5,1.4,5.3,84,(X),(X),6.7,11.3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(X),(X),-,-,-,1960,265,1695,359,29,0,29,1572,91,91,0,0,0,0,1869,268,29,0,29,1572,143,1817,152,1808,1702,66,0,116,0,49,27,104,1647,94974,388,26,44,318,100,13.5,86.5,18.3,1.5,0,1.5,80.2,4.6,4.6,0,0,0,0,95.4,13.7,1.5,0,1.5,80.2,7.3,92.7,7.8,92.2,86.8,3.4,0,5.9,0,2.5,1.4,5.3,84,(X),(X),6.7,11.3,82
1400000US42101000200,Census Tract 2; Philadelphia County; Pennsylvania,1686,412,1274,474,161,76,85,1051,283,161,122,59,63,0,1403,313,39,17,22,1051,254,1432,162,1524,852,15,0,727,0,0,92,108,825,98994,635,112,80,443,(X),24.4,75.6,28.1,9.5,4.5,5,62.3,16.8,9.5,7.2,3.5,3.7,0,83.2,18.6,2.3,1,1.3,62.3,15.1,84.9,9.6,90.4,50.5,0.9,0,43.1,0,0,5.5,6.4,48.9,(X),(X),17.6,12.6,69.8,184,69,115,103,68,0,68,13,103,51,52,0,52,0,81,52,16,0,16,13,66,118,64,120,49,15,0,120,0,0,0,0,49,-,171,52,68,51,10.9,37.5,62.5,56,37,0,37,7.1,56,27.7,28.3,0,28.3,0,44,28.3,8.7,0,8.7,7.1,35.9,64.1,34.8,65.2,26.6,8.2,0,65.2,0,0,0,0,26.6,(X),(X),30.4,39.8,29.8,1502,343,1159,371,93,76,17,1038,180,110,70,59,11,0,1322,261,23,17,6,1038,188,1314,98,1404,803,0,0,607,0,0,92,108,776,99425,464,60,12,392,89.1,22.8,77.2,24.7,6.2,5.1,1.1,69.1,12,7.3,4.7,3.9,0.7,0,88,17.4,1.5,1.1,0.4,69.1,12.5,87.5,6.5,93.5,53.5,0,0,40.4,0,0,6.1,7.2,51.7,(X),(X),12.9,2.6,84.5
1400000US42101000300,Census Tract 3; Philadelphia County; Pennsylvania,2347,923,1424,527,25,6,19,1795,171,160,11,0,11,0,2176,367,14,6,8,1795,183,2164,269,2078,1343,253,0,406,0,56,289,172,1233,95234,552,95,145,312,(X),39.3,60.7,22.5,1.1,0.3,0.8,76.5,7.3,6.8,0.5,0,0.5,0,92.7,15.6,0.6,0.3,0.3,76.5,7.8,92.2,11.5,88.5,57.2,10.8,0,17.3,0,2.4,12.3,7.3,52.5,(X),(X),17.2,26.3,56.5,79,55,24,8,0,0,0,71,8,8,0,0,0,0,71,0,0,0,0,71,55,24,46,33,34,36,0,9,0,0,0,9,25,-,8,0,0,8,3.4,69.6,30.4,10.1,0,0,0,89.9,10.1,10.1,0,0,0,0,89.9,0,0,0,0,89.9,69.6,30.4,58.2,41.8,43,45.6,0,11.4,0,0,0,11.4,31.6,(X),(X),0,0,100,2268,868,1400,519,25,6,19,1724,163,152,11,0,11,0,2105,367,14,6,8,1724,128,2140,223,2045,1309,217,0,397,0,56,289,163,1208,97549,544,95,145,304,96.6,38.3,61.7,22.9,1.1,0.3,0.8,76,7.2,6.7,0.5,0,0.5,0,92.8,16.2,0.6,0.3,0.4,76,5.6,94.4,9.8,90.2,57.7,9.6,0,17.5,0,2.5,12.7,7.2,53.3,(X),(X),17.5,26.7,55.9
1400000US42101000401,Census Tract 4.01; Philadelphia County; Pennsylvania,1957,511,1446,331,76,50,26,1550,42,33,9,0,9,0,1915,298,67,50,17,1550,384,1573,297,1660,1124,383,0,336,0,16,98,86,1061,86293,407,130,130,147,(X),26.1,73.9,16.9,3.9,2.6,1.3,79.2,2.1,1.7,0.5,0,0.5,0,97.9,15.2,3.4,2.6,0.9,79.2,19.6,80.4,15.2,84.8,57.4,19.6,0,17.2,0,0.8,5,4.4,54.2,(X),(X),31.9,31.9,36.1,242,199,43,121,9,0,9,112,9,0,9,0,9,0,233,121,0,0,0,112,192,50,208,34,105,43,0,94,0,0,0,0,105,15381,130,130,0,0,12.4,82.2,17.8,50,3.7,0,3.7,46.3,3.7,0,3.7,0,3.7,0,96.3,50,0,0,0,46.3,79.3,20.7,86,14,43.4,17.8,0,38.8,0,0,0,0,43.4,(X),(X),100,0,0,1715,312,1403,210,67,50,17,1438,33,33,0,0,0,0,1682,177,67,50,17,1438,192,1523,89,1626,1019,340,0,242,0,16,98,86,956,92651,277,0,130,147,87.6,18.2,81.8,12.2,3.9,2.9,1,83.8,1.9,1.9,0,0,0,0,98.1,10.3,3.9,2.9,1,83.8,11.2,88.8,5.2,94.8,59.4,19.8,0,14.1,0,0.9,5.7,5,55.7,(X),(X),0,46.9,53.1
1400000US42101000403,Census Tract 4.03; Philadelphia County; Pennsylvania,716,134,582,206,19,0,19,491,16,16,0,0,0,0,700,190,19,0,19,491,39,677,105,611,634,0,6,52,0,0,24,51,583,181066,225,25,73,127,(X),18.7,81.3,28.8,2.7,0,2.7,68.6,2.2,2.2,0,0,0,0,97.8,26.5,2.7,0,2.7,68.6,5.4,94.6,14.7,85.3,88.5,0,0.8,7.3,0,0,3.4,7.1,81.4,(X),(X),11.1,32.4,56.4,57,21,36,6,0,0,0,51,0,0,0,0,0,0,57,6,0,0,0,51,6,51,27,30,51,0,6,0,0,0,0,51,0,-,6,6,0,0,8,36.8,63.2,10.5,0,0,0,89.5,0,0,0,0,0,0,100,10.5,0,0,0,89.5,10.5,89.5,47.4,52.6,89.5,0,10.5,0,0,0,0,89.5,0,(X),(X),100,0,0,659,113,546,200,19,0,19,440,16,16,0,0,0,0,643,184,19,0,19,440,33,626,78,581,583,0,0,52,0,0,24,0,583,181342,219,19,73,127,92,17.1,82.9,30.3,2.9,0,2.9,66.8,2.4,2.4,0,0,0,0,97.6,27.9,2.9,0,2.9,66.8,5,95,11.8,88.2,88.5,0,0,7.9,0,0,3.6,0,88.5,(X),(X),8.7,33.3,58
1400000US42101000404,Census Tract 4.04; Philadelphia County; Pennsylvania,2292,939,1353,393,68,0,68,1831,24,12,0,0,0,12,2268,381,68,0,68,1819,165,2127,443,1849,1761,151,0,258,0,0,122,31,1730,90980,461,136,55,270,(X),41,59,17.1,3,0,3,79.9,1,0.5,0,0,0,0.5,99,16.6,3,0,3,79.4,7.2,92.8,19.3,80.7,76.8,6.6,0,11.3,0,0,5.3,1.4,75.5,(X),(X),29.5,11.9,58.6,98,45,53,0,0,0,0,98,0,0,0,0,0,0,98,0,0,0,0,98,9,89,45,53,98,0,0,0,0,0,0,9,89,18908,0,0,0,0,4.3,45.9,54.1,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,9.2,90.8,45.9,54.1,100,0,0,0,0,0,0,9.2,90.8,(X),(X),-,-,-,2194,894,1300,393,68,0,68,1733,24,12,0,0,0,12,2170,381,68,0,68,1721,156,2038,398,1796,1663,151,0,258,0,0,122,22,1641,97563,461,136,55,270,95.7,40.7,59.3,17.9,3.1,0,3.1,79,1.1,0.5,0,0,0,0.5,98.9,17.4,3.1,0,3.1,78.4,7.1,92.9,18.1,81.9,75.8,6.9,0,11.8,0,0,5.6,1,74.8,(X),(X),29.5,11.9,58.6
1400000US42101000500,Census Tract 5; Philadelphia County; Pennsylvania,1269,151,1118,120,67,53,14,1082,25,20,5,0,5,0,1244,100,62,53,9,1082,202,1067,153,1116,613,188,5,340,0,5,118,34,585,69267,187,23,45,119,(X),11.9,88.1,9.5,5.3,4.2,1.1,85.3,2,1.6,0.4,0,0.4,0,98,7.9,4.9,4.2,0.7,85.3,15.9,84.1,12.1,87.9,48.3,14.8,0.4,26.8,0,0.4,9.3,2.7,46.1,(X),(X),12.3,24.1,63.6,123,33,90,5,9,0,9,109,0,0,0,0,0,0,123,5,9,0,9,109,73,50,74,49,37,59,0,12,0,0,15,0,37,-,14,10,4,0,9.7,26.8,73.2,4.1,7.3,0,7.3,88.6,0,0,0,0,0,0,100,4.1,7.3,0,7.3,88.6,59.3,40.7,60.2,39.8,30.1,48,0,9.8,0,0,12.2,0,30.1,(X),(X),71.4,28.6,0,1146,118,1028,115,58,53,5,973,25,20,5,0,5,0,1121,95,53,53,0,973,129,1017,79,1067,576,129,5,328,0,5,103,34,548,78580,173,13,41,119,90.3,10.3,89.7,10,5.1,4.6,0.4,84.9,2.2,1.7,0.4,0,0.4,0,97.8,8.3,4.6,4.6,0,84.9,11.3,88.7,6.9,93.1,50.3,11.3,0.4,28.6,0,0.4,9,3,47.8,(X),(X),7.5,23.7,68.8
1400000US42101000600,Census Tract 6; Philadelphia County; Pennsylvania,1028,104,924,155,2,0,2,871,10,10,0,0,0,0,1018,145,2,0,2,871,122,906,127,901,666,103,2,257,0,0,0,71,595,97794,157,11,9,137,(X),10.1,89.9,15.1,0.2,0,0.2,84.7,1,1,0,0,0,0,99,14.1,0.2,0,0.2,84.7,11.9,88.1,12.4,87.6,64.8,10,0.2,25,0,0,0,6.9,57.9,(X),(X),7,5.7,87.3,56,31,25,0,2,0,2,54,0,0,0,0,0,0,56,0,2,0,2,54,29,27,2,54,0,29,2,25,0,0,0,0,0,"2,500-",2,0,2,0,5.4,55.4,44.6,0,3.6,0,3.6,96.4,0,0,0,0,0,0,100,0,3.6,0,3.6,96.4,51.8,48.2,3.6,96.4,0,51.8,3.6,44.6,0,0,0,0,0,(X),(X),0,100,0,972,73,899,155,0,0,0,817,10,10,0,0,0,0,962,145,0,0,0,817,93,879,125,847,666,74,0,232,0,0,0,71,595,115455,155,11,7,137,94.6,7.5,92.5,15.9,0,0,0,84.1,1,1,0,0,0,0,99,14.9,0,0,0,84.1,9.6,90.4,12.9,87.1,68.5,7.6,0,23.9,0,0,0,7.3,61.2,(X),(X),7.1,4.5,88.4
1400000US42101000701,Census Tract 7.01; Philadelphia County; Pennsylvania,1367,223,1144,219,28,18,10,1120,0,0,0,0,0,0,1367,219,28,18,10,1120,236,1131,58,1309,1099,4,0,264,0,0,0,82,1046,86809,247,11,71,165,(X),16.3,83.7,16,2,1.3,0.7,81.9,0,0,0,0,0,0,100,16,2,1.3,0.7,81.9,17.3,82.7,4.2,95.8,80.4,0.3,0,19.3,0,0,0,6,76.5,(X),(X),4.5,28.7,66.8,18,0,18,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,18,0,18,0,18,0,0,0,18,0,0,0,0,0,-,0,0,0,0,1.3,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,100,0,0,0,100,0,0,0,0,0,(X),(X),-,-,-,1349,223,1126,219,28,18,10,1102,0,0,0,0,0,0,1349,219,28,18,10,1102,236,1113,58,1291,1099,4,0,246,0,0,0,82,1046,87401,247,11,71,165,98.7,16.5,83.5,16.2,2.1,1.3,0.7,81.7,0,0,0,0,0,0,100,16.2,2.1,1.3,0.7,81.7,17.5,82.5,4.3,95.7,81.5,0.3,0,18.2,0,0,0,6.1,77.5,(X),(X),4.5,28.7,66.8
